,IDs,xmol_step_400000,Subtypes
239,xmol_idx239,1,xmol_step_400000
240,xmol_idx240,1,xmol_step_400000
241,xmol_idx241,1,xmol_step_400000
242,xmol_idx242,1,xmol_step_400000
243,xmol_idx243,1,xmol_step_400000
244,xmol_idx244,1,xmol_step_400000
245,xmol_idx245,1,xmol_step_400000
246,xmol_idx246,1,xmol_step_400000
247,xmol_idx247,1,xmol_step_400000
248,xmol_idx248,1,xmol_step_400000
249,xmol_idx249,1,xmol_step_400000
250,xmol_idx250,1,xmol_step_400000
251,xmol_idx251,1,xmol_step_400000
252,xmol_idx252,1,xmol_step_400000
253,xmol_idx253,1,xmol_step_400000
254,xmol_idx254,1,xmol_step_400000
255,xmol_idx255,1,xmol_step_400000
256,xmol_idx256,1,xmol_step_400000
257,xmol_idx257,1,xmol_step_400000
258,xmol_idx258,1,xmol_step_400000
259,xmol_idx259,1,xmol_step_400000
260,xmol_idx260,1,xmol_step_400000
261,xmol_idx261,1,xmol_step_400000
262,xmol_idx262,1,xmol_step_400000
263,xmol_idx263,1,xmol_step_400000
264,xmol_idx264,1,xmol_step_400000
265,xmol_idx265,1,xmol_step_400000
266,xmol_idx266,1,xmol_step_400000
267,xmol_idx267,1,xmol_step_400000
268,xmol_idx268,1,xmol_step_400000
269,xmol_idx269,1,xmol_step_400000
270,xmol_idx270,1,xmol_step_400000
271,xmol_idx271,1,xmol_step_400000
272,xmol_idx272,1,xmol_step_400000
273,xmol_idx273,1,xmol_step_400000
274,xmol_idx274,1,xmol_step_400000
275,xmol_idx275,1,xmol_step_400000
276,xmol_idx276,1,xmol_step_400000
277,xmol_idx277,1,xmol_step_400000
278,xmol_idx278,1,xmol_step_400000
279,xmol_idx279,1,xmol_step_400000
280,xmol_idx280,1,xmol_step_400000
281,xmol_idx281,1,xmol_step_400000
282,xmol_idx282,1,xmol_step_400000
283,xmol_idx283,1,xmol_step_400000
284,xmol_idx284,1,xmol_step_400000
285,xmol_idx285,1,xmol_step_400000
286,xmol_idx286,1,xmol_step_400000
287,xmol_idx287,1,xmol_step_400000
288,xmol_idx288,1,xmol_step_400000
289,xmol_idx289,1,xmol_step_400000
290,xmol_idx290,1,xmol_step_400000
291,xmol_idx291,1,xmol_step_400000
292,xmol_idx292,1,xmol_step_400000
293,xmol_idx293,1,xmol_step_400000
294,xmol_idx294,1,xmol_step_400000
295,xmol_idx295,1,xmol_step_400000
296,xmol_idx296,1,xmol_step_400000
297,xmol_idx297,1,xmol_step_400000
298,xmol_idx298,1,xmol_step_400000
299,xmol_idx299,1,xmol_step_400000
300,xmol_idx300,1,xmol_step_400000
301,xmol_idx301,1,xmol_step_400000
302,xmol_idx302,1,xmol_step_400000
303,xmol_idx303,1,xmol_step_400000
304,xmol_idx304,1,xmol_step_400000
305,xmol_idx305,1,xmol_step_400000
306,xmol_idx306,1,xmol_step_400000
307,xmol_idx307,1,xmol_step_400000
308,xmol_idx308,1,xmol_step_400000
309,xmol_idx309,1,xmol_step_400000
310,xmol_idx310,1,xmol_step_400000
311,xmol_idx311,1,xmol_step_400000
312,xmol_idx312,1,xmol_step_400000
313,xmol_idx313,1,xmol_step_400000
314,xmol_idx314,1,xmol_step_400000
315,xmol_idx315,1,xmol_step_400000
316,xmol_idx316,1,xmol_step_400000
317,xmol_idx317,1,xmol_step_400000
318,xmol_idx318,1,xmol_step_400000
319,xmol_idx319,1,xmol_step_400000
320,xmol_idx320,1,xmol_step_400000
321,xmol_idx321,1,xmol_step_400000
322,xmol_idx322,1,xmol_step_400000
323,xmol_idx323,1,xmol_step_400000
324,xmol_idx324,1,xmol_step_400000
325,xmol_idx325,1,xmol_step_400000
326,xmol_idx326,1,xmol_step_400000
327,xmol_idx327,1,xmol_step_400000
328,xmol_idx328,1,xmol_step_400000
329,xmol_idx329,1,xmol_step_400000
330,xmol_idx330,1,xmol_step_400000
331,xmol_idx331,1,xmol_step_400000
332,xmol_idx332,1,xmol_step_400000
333,xmol_idx333,1,xmol_step_400000
334,xmol_idx334,1,xmol_step_400000
335,xmol_idx335,1,xmol_step_400000
336,xmol_idx336,1,xmol_step_400000
337,xmol_idx337,1,xmol_step_400000
338,xmol_idx338,1,xmol_step_400000
339,xmol_idx339,1,xmol_step_400000
340,xmol_idx340,1,xmol_step_400000
341,xmol_idx341,1,xmol_step_400000
342,xmol_idx342,1,xmol_step_400000
343,xmol_idx343,1,xmol_step_400000
344,xmol_idx344,1,xmol_step_400000
345,xmol_idx345,1,xmol_step_400000
346,xmol_idx346,1,xmol_step_400000
347,xmol_idx347,1,xmol_step_400000
348,xmol_idx348,1,xmol_step_400000
349,xmol_idx349,1,xmol_step_400000
350,xmol_idx350,1,xmol_step_400000
351,xmol_idx351,1,xmol_step_400000
352,xmol_idx352,1,xmol_step_400000
353,xmol_idx353,1,xmol_step_400000
354,xmol_idx354,1,xmol_step_400000
355,xmol_idx355,1,xmol_step_400000
356,xmol_idx356,1,xmol_step_400000
357,xmol_idx357,1,xmol_step_400000
358,xmol_idx358,1,xmol_step_400000
359,xmol_idx359,1,xmol_step_400000
360,xmol_idx360,1,xmol_step_400000
361,xmol_idx361,1,xmol_step_400000
362,xmol_idx362,1,xmol_step_400000
363,xmol_idx363,1,xmol_step_400000
364,xmol_idx364,1,xmol_step_400000
365,xmol_idx365,1,xmol_step_400000
366,xmol_idx366,1,xmol_step_400000
367,xmol_idx367,1,xmol_step_400000
368,xmol_idx368,1,xmol_step_400000
369,xmol_idx369,1,xmol_step_400000
370,xmol_idx370,1,xmol_step_400000
371,xmol_idx371,1,xmol_step_400000
372,xmol_idx372,1,xmol_step_400000
373,xmol_idx373,1,xmol_step_400000
374,xmol_idx374,1,xmol_step_400000
375,xmol_idx375,1,xmol_step_400000
376,xmol_idx376,1,xmol_step_400000
377,xmol_idx377,1,xmol_step_400000
378,xmol_idx378,1,xmol_step_400000
379,xmol_idx379,1,xmol_step_400000
380,xmol_idx380,1,xmol_step_400000
381,xmol_idx381,1,xmol_step_400000
382,xmol_idx382,1,xmol_step_400000
383,xmol_idx383,1,xmol_step_400000
384,xmol_idx384,1,xmol_step_400000
385,xmol_idx385,1,xmol_step_400000
386,xmol_idx386,1,xmol_step_400000
387,xmol_idx387,1,xmol_step_400000
388,xmol_idx388,1,xmol_step_400000
389,xmol_idx389,1,xmol_step_400000
390,xmol_idx390,1,xmol_step_400000
391,xmol_idx391,1,xmol_step_400000
392,xmol_idx392,1,xmol_step_400000
393,xmol_idx393,1,xmol_step_400000
394,xmol_idx394,1,xmol_step_400000
395,xmol_idx395,1,xmol_step_400000
396,xmol_idx396,1,xmol_step_400000
397,xmol_idx397,1,xmol_step_400000
398,xmol_idx398,1,xmol_step_400000
399,xmol_idx399,1,xmol_step_400000
400,xmol_idx400,1,xmol_step_400000
401,xmol_idx401,1,xmol_step_400000
402,xmol_idx402,1,xmol_step_400000
403,xmol_idx403,1,xmol_step_400000
404,xmol_idx404,1,xmol_step_400000
405,xmol_idx405,1,xmol_step_400000
406,xmol_idx406,1,xmol_step_400000
407,xmol_idx407,1,xmol_step_400000
408,xmol_idx408,1,xmol_step_400000
409,xmol_idx409,1,xmol_step_400000
410,xmol_idx410,1,xmol_step_400000
411,xmol_idx411,1,xmol_step_400000
412,xmol_idx412,1,xmol_step_400000
413,xmol_idx413,1,xmol_step_400000
414,xmol_idx414,1,xmol_step_400000
415,xmol_idx415,1,xmol_step_400000
416,xmol_idx416,1,xmol_step_400000
417,xmol_idx417,1,xmol_step_400000
418,xmol_idx418,1,xmol_step_400000
419,xmol_idx419,1,xmol_step_400000
420,xmol_idx420,1,xmol_step_400000
421,xmol_idx421,1,xmol_step_400000
422,xmol_idx422,1,xmol_step_400000
423,xmol_idx423,1,xmol_step_400000
424,xmol_idx424,1,xmol_step_400000
425,xmol_idx425,1,xmol_step_400000
426,xmol_idx426,1,xmol_step_400000
427,xmol_idx427,1,xmol_step_400000
428,xmol_idx428,1,xmol_step_400000
429,xmol_idx429,1,xmol_step_400000
430,xmol_idx430,1,xmol_step_400000
431,xmol_idx431,1,xmol_step_400000
432,xmol_idx432,1,xmol_step_400000
433,xmol_idx433,1,xmol_step_400000
434,xmol_idx434,1,xmol_step_400000
435,xmol_idx435,1,xmol_step_400000
436,xmol_idx436,1,xmol_step_400000
437,xmol_idx437,1,xmol_step_400000
438,xmol_idx438,1,xmol_step_400000
439,xmol_idx439,1,xmol_step_400000
440,xmol_idx440,1,xmol_step_400000
441,xmol_idx441,1,xmol_step_400000
442,xmol_idx442,1,xmol_step_400000
443,xmol_idx443,1,xmol_step_400000
444,xmol_idx444,1,xmol_step_400000
445,xmol_idx445,1,xmol_step_400000
446,xmol_idx446,1,xmol_step_400000
447,xmol_idx447,1,xmol_step_400000
448,xmol_idx448,1,xmol_step_400000
449,xmol_idx449,1,xmol_step_400000
450,xmol_idx450,1,xmol_step_400000
451,xmol_idx451,1,xmol_step_400000
452,xmol_idx452,1,xmol_step_400000
453,xmol_idx453,1,xmol_step_400000
454,xmol_idx454,1,xmol_step_400000
455,xmol_idx455,1,xmol_step_400000
456,xmol_idx456,1,xmol_step_400000
457,xmol_idx457,1,xmol_step_400000
458,xmol_idx458,1,xmol_step_400000
459,xmol_idx459,1,xmol_step_400000
460,xmol_idx460,1,xmol_step_400000
461,xmol_idx461,1,xmol_step_400000
462,xmol_idx462,1,xmol_step_400000
463,xmol_idx463,1,xmol_step_400000
464,xmol_idx464,1,xmol_step_400000
465,xmol_idx465,1,xmol_step_400000
466,xmol_idx466,1,xmol_step_400000
467,xmol_idx467,1,xmol_step_400000
468,xmol_idx468,1,xmol_step_400000
469,xmol_idx469,1,xmol_step_400000
470,xmol_idx470,1,xmol_step_400000
471,xmol_idx471,1,xmol_step_400000
472,xmol_idx472,1,xmol_step_400000
473,xmol_idx473,1,xmol_step_400000
474,xmol_idx474,1,xmol_step_400000
475,xmol_idx475,1,xmol_step_400000
476,xmol_idx476,1,xmol_step_400000
477,xmol_idx477,1,xmol_step_400000
478,xmol_idx478,1,xmol_step_400000
479,xmol_idx479,1,xmol_step_400000
480,xmol_idx480,1,xmol_step_400000
481,xmol_idx481,1,xmol_step_400000
482,xmol_idx482,1,xmol_step_400000
483,xmol_idx483,1,xmol_step_400000
484,xmol_idx484,1,xmol_step_400000
485,xmol_idx485,1,xmol_step_400000
486,xmol_idx486,1,xmol_step_400000
487,xmol_idx487,1,xmol_step_400000
488,xmol_idx488,1,xmol_step_400000
489,xmol_idx489,1,xmol_step_400000
490,xmol_idx490,1,xmol_step_400000
491,xmol_idx491,1,xmol_step_400000
492,xmol_idx492,1,xmol_step_400000
493,xmol_idx493,1,xmol_step_400000
494,xmol_idx494,1,xmol_step_400000
495,xmol_idx495,1,xmol_step_400000
496,xmol_idx496,1,xmol_step_400000
497,xmol_idx497,1,xmol_step_400000
498,xmol_idx498,1,xmol_step_400000
499,xmol_idx499,1,xmol_step_400000
500,xmol_idx500,1,xmol_step_400000
501,xmol_idx501,1,xmol_step_400000
502,xmol_idx502,1,xmol_step_400000
503,xmol_idx503,1,xmol_step_400000
504,xmol_idx504,1,xmol_step_400000
505,xmol_idx505,1,xmol_step_400000
506,xmol_idx506,1,xmol_step_400000
507,xmol_idx507,1,xmol_step_400000
508,xmol_idx508,1,xmol_step_400000
509,xmol_idx509,1,xmol_step_400000
510,xmol_idx510,1,xmol_step_400000
511,xmol_idx511,1,xmol_step_400000
512,xmol_idx512,1,xmol_step_400000
513,xmol_idx513,1,xmol_step_400000
514,xmol_idx514,1,xmol_step_400000
515,xmol_idx515,1,xmol_step_400000
516,xmol_idx516,1,xmol_step_400000
517,xmol_idx517,1,xmol_step_400000
518,xmol_idx518,1,xmol_step_400000
