IDs,xmol_step_400000
xmol_idx671,1
xmol_idx672,1
xmol_idx673,1
xmol_idx674,1
xmol_idx675,1
xmol_idx676,1
xmol_idx677,1
xmol_idx678,1
xmol_idx679,1
xmol_idx680,1
xmol_idx681,1
xmol_idx682,1
xmol_idx683,1
xmol_idx684,1
xmol_idx685,1
xmol_idx686,1
xmol_idx687,1
xmol_idx688,1
xmol_idx689,1
xmol_idx690,1
xmol_idx691,1
xmol_idx692,1
xmol_idx693,1
xmol_idx694,1
xmol_idx695,1
xmol_idx696,1
xmol_idx697,1
xmol_idx698,1
xmol_idx699,1
xmol_idx700,1
xmol_idx701,1
xmol_idx702,1
xmol_idx703,1
xmol_idx704,1
xmol_idx705,1
xmol_idx706,1
xmol_idx707,1
xmol_idx708,1
xmol_idx709,1
xmol_idx710,1
xmol_idx711,1
xmol_idx712,1
xmol_idx713,1
xmol_idx714,1
xmol_idx715,1
xmol_idx716,1
xmol_idx717,1
xmol_idx718,1
xmol_idx719,1
xmol_idx720,1
xmol_idx721,1
xmol_idx722,1
xmol_idx723,1
xmol_idx724,1
xmol_idx725,1
xmol_idx726,1
xmol_idx727,1
xmol_idx728,1
xmol_idx729,1
xmol_idx730,1
xmol_idx731,1
xmol_idx732,1
xmol_idx733,1
xmol_idx734,1
xmol_idx735,1
xmol_idx736,1
xmol_idx737,1
xmol_idx738,1
xmol_idx739,1
xmol_idx740,1
xmol_idx741,1
xmol_idx742,1
xmol_idx743,1
xmol_idx744,1
xmol_idx745,1
xmol_idx746,1
xmol_idx747,1
xmol_idx748,1
xmol_idx749,1
xmol_idx750,1
xmol_idx751,1
xmol_idx752,1
xmol_idx753,1
xmol_idx754,1
xmol_idx755,1
xmol_idx756,1
xmol_idx757,1
xmol_idx758,1
xmol_idx759,1
xmol_idx760,1
xmol_idx761,1
xmol_idx762,1
xmol_idx763,1
xmol_idx764,1
xmol_idx765,1
xmol_idx766,1
xmol_idx767,1
