IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D
esm2_t36_3B_UR50D_idx167,0,1,0
esm2_t36_3B_UR50D_idx168,0,1,0
esm2_t36_3B_UR50D_idx169,0,1,0
esm2_t36_3B_UR50D_idx170,0,1,0
esm2_t36_3B_UR50D_idx171,0,1,0
esm2_t36_3B_UR50D_idx172,0,1,0
esm2_t36_3B_UR50D_idx173,0,1,0
esm2_t36_3B_UR50D_idx174,0,1,0
esm2_t36_3B_UR50D_idx175,0,1,0
esm2_t36_3B_UR50D_idx176,0,1,0
esm2_t36_3B_UR50D_idx177,0,1,0
esm2_t36_3B_UR50D_idx178,0,1,0
esm2_t36_3B_UR50D_idx179,0,1,0
esm2_t36_3B_UR50D_idx180,0,1,0
esm2_t36_3B_UR50D_idx181,0,1,0
esm2_t36_3B_UR50D_idx182,0,1,0
esm2_t36_3B_UR50D_idx183,0,1,0
esm2_t36_3B_UR50D_idx184,0,1,0
esm2_t36_3B_UR50D_idx185,0,1,0
esm2_t36_3B_UR50D_idx186,0,1,0
esm2_t36_3B_UR50D_idx187,0,1,0
esm2_t36_3B_UR50D_idx188,0,1,0
esm2_t36_3B_UR50D_idx189,0,1,0
esm2_t36_3B_UR50D_idx190,0,1,0
esm2_t36_3B_UR50D_idx191,0,1,0
esm2_t36_3B_UR50D_idx192,0,1,0
esm2_t36_3B_UR50D_idx193,0,1,0
esm2_t36_3B_UR50D_idx194,0,1,0
esm2_t36_3B_UR50D_idx195,0,1,0
esm2_t36_3B_UR50D_idx196,0,1,0
esm2_t36_3B_UR50D_idx197,0,1,0
esm2_t36_3B_UR50D_idx198,0,1,0
esm2_t36_3B_UR50D_idx199,0,1,0
esm2_t36_3B_UR50D_idx200,0,1,0
esm2_t36_3B_UR50D_idx201,0,1,0
esm2_t36_3B_UR50D_idx202,0,1,0
esm2_t36_3B_UR50D_idx203,0,1,0
esm2_t36_3B_UR50D_idx204,0,1,0
esm2_t36_3B_UR50D_idx205,0,1,0
