,IDs,esm2_t33_650M_UR50D,esm2_t36_3B_UR50D,esm2_t48_15B_UR50D,Subtypes
131,esm2_t36_3B_UR50D_idx131,0,1,0,esm2_t36_3B_UR50D
132,esm2_t36_3B_UR50D_idx132,0,1,0,esm2_t36_3B_UR50D
133,esm2_t36_3B_UR50D_idx133,0,1,0,esm2_t36_3B_UR50D
134,esm2_t36_3B_UR50D_idx134,0,1,0,esm2_t36_3B_UR50D
135,esm2_t36_3B_UR50D_idx135,0,1,0,esm2_t36_3B_UR50D
136,esm2_t36_3B_UR50D_idx136,0,1,0,esm2_t36_3B_UR50D
137,esm2_t36_3B_UR50D_idx137,0,1,0,esm2_t36_3B_UR50D
138,esm2_t36_3B_UR50D_idx138,0,1,0,esm2_t36_3B_UR50D
139,esm2_t36_3B_UR50D_idx139,0,1,0,esm2_t36_3B_UR50D
140,esm2_t36_3B_UR50D_idx140,0,1,0,esm2_t36_3B_UR50D
141,esm2_t36_3B_UR50D_idx141,0,1,0,esm2_t36_3B_UR50D
142,esm2_t36_3B_UR50D_idx142,0,1,0,esm2_t36_3B_UR50D
143,esm2_t36_3B_UR50D_idx143,0,1,0,esm2_t36_3B_UR50D
144,esm2_t36_3B_UR50D_idx144,0,1,0,esm2_t36_3B_UR50D
145,esm2_t36_3B_UR50D_idx145,0,1,0,esm2_t36_3B_UR50D
146,esm2_t36_3B_UR50D_idx146,0,1,0,esm2_t36_3B_UR50D
147,esm2_t36_3B_UR50D_idx147,0,1,0,esm2_t36_3B_UR50D
148,esm2_t36_3B_UR50D_idx148,0,1,0,esm2_t36_3B_UR50D
149,esm2_t36_3B_UR50D_idx149,0,1,0,esm2_t36_3B_UR50D
150,esm2_t36_3B_UR50D_idx150,0,1,0,esm2_t36_3B_UR50D
151,esm2_t36_3B_UR50D_idx151,0,1,0,esm2_t36_3B_UR50D
152,esm2_t36_3B_UR50D_idx152,0,1,0,esm2_t36_3B_UR50D
153,esm2_t36_3B_UR50D_idx153,0,1,0,esm2_t36_3B_UR50D
154,esm2_t36_3B_UR50D_idx154,0,1,0,esm2_t36_3B_UR50D
155,esm2_t36_3B_UR50D_idx155,0,1,0,esm2_t36_3B_UR50D
156,esm2_t36_3B_UR50D_idx156,0,1,0,esm2_t36_3B_UR50D
157,esm2_t36_3B_UR50D_idx157,0,1,0,esm2_t36_3B_UR50D
